"Selected Filters: All States | FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)"
""
"Total Funding: $1,316,374,135"
"Number of Grants: 1,387"

"Grantee Name","Grant Number","Program Name","City","State","ZIP Code","County","Congressional District","Award Fiscal Year","Award Funding"
"D.F.D. Russell Medical Center, Inc.","H8DCS36331","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Leeds","ME","04263-3418","Androscoggin","ME-02","2020","$610,730"
"Daily Planet Inc","H8DCS36729","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Richmond","VA","23220-4911","Richmond City","VA-04","2020","$772,460"
"Dallas County Hospital District","H8DCS36500","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Dallas","TX","75235-7709","Dallas","TX-30","2020","$817,415"
"Damian Family Care Centers, Inc.","H8DCS36568","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Jamaica","NY","11432-5072","Queens","NY-05","2020","$715,850"
"David Raines Community Health Center, Inc.","H8DCS35825","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Shreveport","LA","71107-4705","Caddo","LA-04","2020","$815,390"
"Davis Street Community Center Inc","H8DCS35786","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Leandro","CA","94577-5720","Alameda","CA-13","2020","$556,820"
"Dayspring Health, Inc.","H8DCS36195","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Jellico","TN","37762-2154","Campbell","TN-02","2020","$675,140"
"Debaca Family Practice Clinic","H8DCS36400","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fort Sumner","NM","88119","De Baca","NM-02","2020","$547,970"
"Delaware Valley Community Health, Inc.","H8DCS36651","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Philadelphia","PA","19130-2908","Philadelphia","PA-02","2020","$1,566,095"
"Delta Health Center, Inc.","H8DCS36189","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Mound Bayou","MS","38762-9314","Bolivar","MS-02","2020","$806,270"
"Dena' Nena' Henash","H8DCS35395","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fairbanks","AK","99701-4871","Fairbanks North Star","AK-00","2020","$600,185"
"Denver Health And Hospitals Authority","H8DCS35921","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Denver","CO","80204-4507","Denver","CO-01","2020","$3,871,985"
"Department Of Health","H8DCS36539","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","PAGO PAGO","AS","96799","Western","AS-98","2020","$745,580"
"Desert Aids Project","H8DCS35730","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Palm Springs","CA","92262-3701","Riverside","CA-36","2020","$687,455"
"Detroit Central City Community Mental Health, Incorporated","H8DCS35573","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Detroit","MI","48201-2722","Wayne","MI-13","2020","$580,505"
"Detroit Community Health Connection","H8DCS35506","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Detroit","MI","48215-2720","Wayne","MI-14","2020","$730,565"
"Detroit Health Care For The Homeless","H8DCS35561","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Detroit","MI","48235-3724","Wayne","MI-14","2020","$879,785"
"Dimock Community Health Center, Inc.","H8DCS35464","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Boston","MA","02119-1029","Suffolk","MA-07","2020","$749,450"
"Dirne Health Centers, Inc.","H8DCS36086","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Coeur D Alene","ID","83814","Kootenai","ID-01","2020","$1,071,050"
"Diversity Health Center, Inc.","H8DCS36027","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hinesville","GA","31313-3749","Liberty","GA-01","2020","$698,675"
"Dolores County Health Association","H8DCS36153","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Dove Creek","CO","81324","Dolores","CO-03","2020","$541,760"
"Dothouse Health, Inc.","H8DCS35456","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Boston","MA","02122-2932","Suffolk","MA-07","2020","$841,610"
"Douglas County Public Health Services Group, Inc.","H8DCS35933","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Ava","MO","65608","Taney","MO-07","2020","$755,465"
"Downriver Community Services Inc","H8DCS35583","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Algonac","MI","48001-1802","St. Clair","MI-10","2020","$672,980"
"Dr. Arenia C. Mallory Community Health Center, Inc.","H8DCS36156","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lexington","MS","39095-6614","Holmes","MS-02","2020","$656,885"
"Duffy Health Center, Inc.","H8DCS35479","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hyannis","MA","02601-3146","Barnstable","MA-09","2020","$559,685"
"E. A. Hawse Health Center, Inc.","H8DCS35831","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Baker","WV","26801-7000","Hardy","WV-02","2020","$727,985"
"East Arkansas Family Health Center, Inc.","H8DCS35425","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","West Memphis","AR","72301-2001","Crittenden","AR-01","2020","$902,690"
"East Bay Community Action Program","H8DCS36212","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Newport","RI","02840-2937","Newport","RI-01","2020","$688,715"
"East Boston Neighborhood Health Center Corporation","H8DCS35457","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Boston","MA","02128-1920","Suffolk","MA-07","2020","$2,181,785"
"East Central District Health Dept","H8DCS35902","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Columbus","NE","68601-2131","Platte","NE-01","2020","$807,515"
"East Central Mississippi Health Care Inc","H8DCS36249","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Walnut Grove","MS","39189","Leake","MS-02","2020","$695,600"
"East Central Missouri Behavioral Health Services Inc","H8DCS35946","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Mexico","MO","65265-3811","Audrain","MO-04","2020","$612,275"
"East Central Oklahoma Family Health Center Inc","H8DCS35603","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Wetumka","OK","74883-4015","Hughes","OK-02","2020","$608,615"
"East Georgia Healthcare Center, Inc.","H8DCS36020","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Swainsboro","GA","30401-3530","Emanuel","GA-12","2020","$1,095,200"
"East Harlem Council For Human Services, Inc.","H8DCS36607","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New York","NY","10035-2231","New York","NY-13","2020","$703,400"
"East Hill Family Medical Inc","H8DCS36602","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Auburn","NY","13021-3510","Cayuga","NY-24","2020","$627,365"
"East Jordan Family Health Center","H8DCS35598","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","East Jordan","MI","49727-9383","Charlevoix","MI-01","2020","$638,300"
"East Liberty Family Health Care Center, Inc.","H8DCS36646","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Pittsburgh","PA","15206-3053","Allegheny","PA-18","2020","$742,580"
"East Tennessee State University","H8DCS36187","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Johnson City","TN","37614-6503","Washington","TN-01","2020","$705,320"
"East Texas Border Health Clinic","H8DCS36505","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Marshall","TX","75670-3005","Harrison","TX-01","2020","$1,303,115"
"East Texas Community Health Services, Inc.","H8DCS36422","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Nacogdoches","TX","75961-6488","Nacogdoches","TX-01","2020","$771,800"
"East Valley Community Health Center Inc","H8DCS35593","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","West Covina","CA","91790-3001","Los Angeles","CA-32","2020","$1,176,695"
"Eastern Aleutian Tribes, Inc.","H8DCS35397","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Anchorage","AK","99503-3949","Anchorage","AK-00","2020","$565,490"
"Eastern Iowa Health Center","H8DCS36052","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Cedar Rapids","IA","52403-4009","Linn","IA-01","2020","$771,275"
"Eastern Shore Rural Health System, Incorporated","H8DCS36733","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Onancock","VA","23417-1331","Accomack","VA-02","2020","$1,152,305"
"Eastport Health Care Inc","H8DCS36314","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Eastport","ME","04631-1306","Washington","ME-02","2020","$593,165"
"Eau Claire Cooperative Health Center","H8DCS36259","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Columbia","SC","29204-1800","Richland","SC-06","2020","$1,750,085"
"Echo Community Health Care, Inc.","H8DCS35672","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Evansville","IN","47713-1252","Vanderburgh","IN-08","2020","$850,550"
"Edward M. Kennedy Community Health Center, Inc.","H8DCS35450","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Worcester","MA","01605-2060","Worcester","MA-02","2020","$1,197,470"
"El Centro Del Barrio","H8DCS36460","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Antonio","TX","78221-3117","Bexar","TX-23","2020","$2,649,500"
"El Centro Del Corazon","H8DCS36433","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Houston","TX","77011-1019","Harris","TX-29","2020","$907,595"
"El Centro Family Health","H8DCS36378","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Espanola","NM","87532-2618","Rio Arriba","NM-03","2020","$872,435"
"El Dorado County Community Health Center","H8DCS35636","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Placerville","CA","95667-6287","El Dorado","CA-04","2020","$687,860"
"El Proyecto Del Barrio, Inc.","H8DCS35652","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Arleta","CA","91331-6401","Los Angeles","CA-29","2020","$1,281,185"
"El Rio Santa Cruz Neighborhood Health Center, Inc.","H8DCS35445","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Tucson","AZ","85745-2819","Pima","AZ-03","2020","$2,582,630"
"Elaine Ellis Center Of Health, Inc.","H8DCS35965","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Washington","DC","20019-2010","District of Columbia","DC-98","2020","$556,670"
"Elica Health Centers","H8DCS35788","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","West Sacramento","CA","95691-3737","Yolo","CA-06","2020","$982,610"
"Ellis County Coalition For Health Options","H8DCS36461","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Waxahachie","TX","75165-3660","Ellis","TX-06","2020","$770,135"
"Empower U, Incorporated","H8DCS36116","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Miami","FL","33147-4909","Miami-Dade","FL-24","2020","$588,935"
"Enterprise Valley Medical Clinic","H8DCS35882","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Enterprise","UT","84725","Washington","UT-02","2020","$544,385"
"Erie Family Health Center, Inc.","H8DCS36294","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Chicago","IL","60622-5646","Cook","IL-05","2020","$2,265,530"
"Erie, County Of","H8DCS36691","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Sandusky","OH","44870-1849","Erie","OH-09","2020","$603,560"
"Escambia Community Clinics, Inc.","H8DCS36000","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Pensacola","FL","32505-7552","Escambia","FL-01","2020","$1,522,295"
"Esperanza Health Center, Inc.","H8DCS36652","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Philadelphia","PA","19140-2319","Philadelphia","PA-02","2020","$771,950"
"Esperanza Health Centers","H8DCS36121","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Chicago","IL","60608-2884","Cook","IL-04","2020","$1,081,430"
"Excelth, Incorporated","H8DCS35769","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New Orleans","LA","70112-4520","Orleans","LA-02","2020","$740,855"
"Ezra Medical Center","H8DCS36579","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Brooklyn","NY","11218-3612","Kings","NY-10","2020","$949,580"
"Ezras Choilim Health Center, Inc.","H8DCS36548","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Monroe","NY","10950-2923","Orange","NY-18","2020","$890,615"
"Fair Haven Community Health Clinic Inc","H8DCS35971","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New Haven","CT","06513-3733","New Haven","CT-03","2020","$879,590"
"Fairfax Medical Facilities, Inc.","H8DCS35587","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fairfax","OK","74637-3023","Osage","OK-03","2020","$646,445"
"Fairfield Community Health Center","H8DCS36680","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lancaster","OH","43130-4056","Fairfield","OH-15","2020","$628,670"
"Family And Medical Counseling Service Inc","H8DCS35961","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Washington","DC","20020-7036","District of Columbia","DC-98","2020","$583,580"
"Family Care Health Centers","H8DCS35930","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Saint Louis","MO","63111-2410","St. Louis City","MO-01","2020","$981,245"
"Family Centers Inc.","H8DCS35962","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Greenwich","CT","06830-6525","Fairfield","CT-04","2020","$533,690"
"Family Christian Health Center","H8DCS36107","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Harvey","IL","60426-3556","Cook","IL-02","2020","$834,950"
"Family First Health Corporation","H8DCS36614","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","York","PA","17401-1474","York","PA-10","2020","$979,100"
"Family Health Care Centers Of Greater Los Angeles, Inc.","H8DCS35709","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bell","CA","90201-1805","Los Angeles","CA-40","2020","$920,705"
"Family Health Care Clinic, Inc.","H8DCS36059","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Pearl","MS","39208-4226","Rankin","MS-03","2020","$1,854,410"
